bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,"Bulwar Kurlandzki, Kraków",50.0473228,19.9484197,3,stop_279_57129,556-02,Korona,50.044052,19.947497,370,,
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,"Bulwar Kurlandzki, Kraków",50.0473228,19.9484197,4,stop_279_57139,556-03,Korona,50.044032,19.94678,384,,
ChIJRTBRrENbFkcRDf7BK00raxU,Augusta,"Bulwar Kurlandzki, Kraków",50.0473228,19.9484197,5,stop_279_57119,556-01,Korona,50.043604,19.946683,432,,
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,"Świętej Gertrudy 6, Kraków",50.0580649,19.9409173,1,stop_1102_347029,817-02,św. Gertrudy,50.058486,19.940838,47,,
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,"Świętej Gertrudy 6, Kraków",50.0580649,19.9409173,2,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,63,,
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,"Świętej Gertrudy 6, Kraków",50.0580649,19.9409173,3,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,156,,
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,"Świętej Gertrudy 6, Kraków",50.0580649,19.9409173,4,stop_222_35729,806-02,Poczta Główna,50.059205,19.942571,173,,
ChIJVVBBDABbFkcRRuqzHb3S_qg,Auto,"Świętej Gertrudy 6, Kraków",50.0580649,19.9409173,5,stop_222_35719,806-01,Poczta Główna,50.059797,19.942404,220,,
ChIJDbfSdTBFFkcRsdtBtkV17aA,Avionetka Garden,"Osiedle 2 Pułku Lotniczego 51, Kraków",50.0756763,20.01072779999999,1,stop_245_40729,102-02,Czyżyny,50.074038,20.011272,186,,
ChIJDbfSdTBFFkcRsdtBtkV17aA,Avionetka Garden,"Osiedle 2 Pułku Lotniczego 51, Kraków",50.0756763,20.01072779999999,2,stop_245_40719,102-01,Czyżyny,50.07399,20.011459,195,,
ChIJDbfSdTBFFkcRsdtBtkV17aA,Avionetka Garden,"Osiedle 2 Pułku Lotniczego 51, Kraków",50.0756763,20.01072779999999,3,stop_246_40829,103-02,Rondo Czyżyńskie,50.07358,20.01606,446,,
ChIJDbfSdTBFFkcRsdtBtkV17aA,Avionetka Garden,"Osiedle 2 Pułku Lotniczego 51, Kraków",50.0756763,20.01072779999999,4,stop_199_11219,101-01,Stella-Sawickiego,50.074273,20.004747,454,,
ChIJDbfSdTBFFkcRsdtBtkV17aA,Avionetka Garden,"Osiedle 2 Pułku Lotniczego 51, Kraków",50.0756763,20.01072779999999,5,stop_199_11229,101-02,Stella-Sawickiego,50.074302,20.00459,464,,
ChIJuUto3FhbFkcRjr3-fRdQdTg,B.O.H.O Coffee&Bar,"Stolarska 6, Kraków",50.0605336,19.9394853,1,stop_325_136019,821-01,Plac Wszystkich Świętych,50.05912,19.93824,181,,
